platform,config,device_name,readme_name,display_name,release_slug,aliases,machid,tested,dts,notes
IPQ40xx,ipq40xx_aliyun_ap4220,Aliyun AP4220,Aliyun AP4220,Aliyun AP4220,Aliyun-AP4220,,0x9000010,yes,arch/arm/dts/ipq40xx-aliyun-ap4220.dts,
IPQ40xx,ipq40xx_standard,QCA Standard Common,QCA Standard Common,QCA Standard Common,QCA-Standard,,,yes,,generic standard build
IPQ40xx,ipq40xx_p2w_r619ac,P&W R619AC,P&W R619AC,P&W R619AC,PW-R619AC,P2W R619AC,0x8010006,yes,arch/arm/dts/ipq40xx-p2w-r619ac.dts,
IPQ40xx,ipq40xx_thinkplus_fogpod800,ThinkPlus FogPod800,ThinkPlus FogPod800,ThinkPlus FogPod800,ThinkPlus-FogPod800,,0x8010100,yes,arch/arm/dts/ipq40xx-thinkplus-fogpod800.dts,
IPQ40xx,ipq40xx,QCA Common,QCA Common,QCA Common,QCA-Common,,,yes,,generic base build
IPQ5018,ipq5018_ctcc_ap301_l,CTCC AP301-L,CTCC AP301-L,CTCC AP301-L,CTCC-AP301-L,,0x8040002,yes,arch/arm/dts/ipq5018-ctcc-ap301-l.dts,
IPQ5018,ipq5018_cmcc_rax3000q,CMCC RAX3000Q,CMCC RAX3000Q,CMCC RAX3000Q,CMCC-RAX3000Q,,0x8040000,no,arch/arm/dts/ipq5018-cmcc-rax3000q.dts,
IPQ5018,ipq5018_cucc_vs010,CUCC VS010,CUCC VS010,CUCC VS010,CUCC-VS010,,0x8040000,yes,arch/arm/dts/ipq5018-cucc-vs010.dts,
IPQ5018,ipq5018_gl_b3000,GL.iNet GL-B3000,GL.iNet GL-B3000,GL.iNet GL-B3000,GLiNet-GL-B3000,GLINET GL-B3000,0x8040004,no,arch/arm/dts/ipq5018-gl-b3000.dts,
IPQ5018,ipq5018_jdcloud_ax3000,JDCloud AX3000 (RE-OS-03U),JDCloud AX3000 (RE-OS-03U),JDCloud AX3000 (RE-OS-03U),JDCloud-AX3000,,0x8040104,yes,arch/arm/dts/ipq5018-jdcloud-ax3000.dts,
IPQ5018,ipq5018_mr3000d_04,CMCC MR3000D-04,CMCC MR3000D-04,CMCC MR3000D-04,CMCC-MR3000D-04,,0x8040702,yes,arch/arm/dts/ipq5018-mr3000d-04.dts,
